frequency,raw
20.00,11.97
20.20,11.96
20.40,11.94
20.61,11.93
20.81,11.91
21.02,11.89
21.23,11.88
21.44,11.86
21.66,11.84
21.87,11.82
22.09,11.80
22.31,11.78
22.54,11.77
22.76,11.76
22.99,11.75
23.22,11.73
23.45,11.72
23.69,11.71
23.92,11.69
24.16,11.67
24.40,11.64
24.65,11.62
24.89,11.60
25.14,11.59
25.39,11.57
25.65,11.56
25.91,11.54
26.16,11.52
26.43,11.49
26.69,11.46
26.96,11.42
27.23,11.39
27.50,11.37
27.77,11.35
28.05,11.33
28.33,11.31
28.62,11.29
28.90,11.26
29.19,11.22
29.48,11.18
29.78,11.14
30.08,11.11
30.38,11.09
30.68,11.07
30.99,11.05
31.30,11.02
31.61,10.99
31.93,10.95
32.24,10.92
32.57,10.89
32.89,10.86
33.22,10.84
33.55,10.81
33.89,10.77
34.23,10.72
34.57,10.67
34.92,10.63
35.27,10.60
35.62,10.57
35.97,10.55
36.33,10.52
36.70,10.49
37.06,10.45
37.43,10.42
37.81,10.38
38.19,10.35
38.57,10.31
38.95,10.27
39.34,10.22
39.74,10.18
40.14,10.14
40.54,10.11
40.94,10.07
41.35,10.04
41.76,10.02
42.18,10.00
42.60,9.97
43.03,9.93
43.46,9.87
43.90,9.80
44.33,9.73
44.78,9.68
45.23,9.64
45.68,9.60
46.13,9.56
46.60,9.51
47.06,9.47
47.53,9.43
48.01,9.40
48.49,9.37
48.97,9.33
49.46,9.27
49.96,9.22
50.46,9.19
50.96,9.17
51.47,9.14
51.99,9.08
52.51,9.01
53.03,8.92
53.56,8.87
54.10,8.82
54.64,8.79
55.18,8.75
55.74,8.71
56.29,8.66
56.86,8.60
57.42,8.54
58.00,8.49
58.58,8.44
59.16,8.39
59.76,8.37
60.35,8.34
60.96,8.30
61.57,8.25
62.18,8.19
62.80,8.14
63.43,8.08
64.07,8.02
64.71,7.95
65.35,7.88
66.01,7.81
66.67,7.81
67.33,7.77
68.01,7.69
68.69,7.59
69.37,7.54
70.07,7.52
70.77,7.45
71.48,7.40
72.19,7.35
72.91,7.30
73.64,7.25
74.38,7.20
75.12,7.14
75.87,7.06
76.63,7.01
77.40,6.97
78.17,6.92
78.95,6.87
79.74,6.81
80.54,6.75
81.35,6.68
82.16,6.63
82.98,6.57
83.81,6.52
84.65,6.47
85.50,6.41
86.35,6.35
87.22,6.30
88.09,6.25
88.97,6.20
89.86,6.14
90.76,6.08
91.66,6.02
92.58,5.97
93.51,5.91
94.44,5.85
95.39,5.79
96.34,5.74
97.30,5.69
98.28,5.63
99.26,5.57
100.25,5.51
101.25,5.46
102.27,5.40
103.29,5.34
104.32,5.28
105.37,5.23
106.42,5.18
107.48,5.12
108.56,5.06
109.64,5.00
110.74,4.94
111.85,4.90
112.97,4.85
114.10,4.78
115.24,4.69
116.39,4.67
117.55,4.65
118.73,4.58
119.92,4.48
121.12,4.44
122.33,4.46
123.55,4.37
124.79,4.29
126.03,4.26
127.29,4.22
128.57,4.17
129.85,4.12
131.15,4.06
132.46,4.00
133.79,3.94
135.12,3.89
136.48,3.85
137.84,3.80
139.22,3.75
140.61,3.69
142.02,3.62
143.44,3.56
144.87,3.52
146.32,3.47
147.78,3.42
149.26,3.35
150.75,3.30
152.26,3.25
153.78,3.20
155.32,3.15
156.88,3.09
158.44,3.04
160.03,2.99
161.63,2.95
163.24,2.90
164.88,2.86
166.53,2.81
168.19,2.77
169.87,2.72
171.57,2.68
173.29,2.63
175.02,2.59
176.77,2.55
178.54,2.51
180.32,2.47
182.13,2.41
183.95,2.35
185.79,2.30
187.65,2.25
189.52,2.20
191.42,2.16
193.33,2.12
195.27,2.06
197.22,2.01
199.19,1.96
201.18,1.92
203.19,1.87
205.23,1.82
207.28,1.78
209.35,1.74
211.44,1.69
213.56,1.65
215.69,1.60
217.85,1.56
220.03,1.52
222.23,1.48
224.45,1.44
226.70,1.39
228.96,1.35
231.25,1.30
233.57,1.26
235.90,1.22
238.26,1.19
240.64,1.16
243.05,1.09
245.48,1.06
247.93,1.02
250.41,0.98
252.92,0.94
255.45,0.90
258.00,0.86
260.58,0.82
263.19,0.78
265.82,0.73
268.48,0.70
271.16,0.67
273.87,0.62
276.61,0.58
279.38,0.55
282.17,0.51
284.99,0.47
287.84,0.44
290.72,0.41
293.63,0.37
296.57,0.33
299.53,0.30
302.53,0.26
305.55,0.23
308.61,0.20
311.69,0.17
314.81,0.14
317.96,0.10
321.14,0.07
324.35,0.04
327.59,0.01
330.87,-0.02
334.18,-0.05
337.52,-0.07
340.90,-0.10
344.30,-0.12
347.75,-0.16
351.23,-0.19
354.74,-0.21
358.28,-0.23
361.87,-0.26
365.49,-0.29
369.14,-0.31
372.83,-0.33
376.56,-0.36
380.33,-0.39
384.13,-0.42
387.97,-0.44
391.85,-0.46
395.77,-0.49
399.73,-0.52
403.72,-0.54
407.76,-0.57
411.84,-0.60
415.96,-0.62
420.12,-0.64
424.32,-0.66
428.56,-0.69
432.85,-0.71
437.18,-0.73
441.55,-0.75
445.96,-0.78
450.42,-0.80
454.93,-0.81
459.48,-0.83
464.07,-0.85
468.71,-0.87
473.40,-0.89
478.13,-0.91
482.91,-0.93
487.74,-0.95
492.62,-0.96
497.55,-0.98
502.52,-1.00
507.55,-1.00
512.62,-1.02
517.75,-1.04
522.93,-1.05
528.16,-1.07
533.44,-1.09
538.77,-1.09
544.16,-1.11
549.60,-1.11
555.10,-1.13
560.65,-1.15
566.25,-1.16
571.92,-1.17
577.64,-1.18
583.41,-1.19
589.25,-1.18
595.14,-1.20
601.09,-1.21
607.10,-1.21
613.17,-1.22
619.30,-1.23
625.50,-1.23
631.75,-1.24
638.07,-1.24
644.45,-1.25
650.89,-1.25
657.40,-1.25
663.98,-1.25
670.62,-1.24
677.32,-1.25
684.10,-1.25
690.94,-1.24
697.85,-1.24
704.83,-1.24
711.87,-1.24
718.99,-1.23
726.18,-1.22
733.44,-1.21
740.78,-1.20
748.19,-1.19
755.67,-1.18
763.23,-1.17
770.86,-1.15
778.57,-1.13
786.35,-1.11
794.22,-1.10
802.16,-1.08
810.18,-1.05
818.28,-1.03
826.46,-1.00
834.73,-0.97
843.08,-0.94
851.51,-0.91
860.02,-0.87
868.62,-0.83
877.31,-0.79
886.08,-0.75
894.94,-0.70
903.89,-0.65
912.93,-0.61
922.06,-0.55
931.28,-0.49
940.59,-0.44
950.00,-0.37
959.50,-0.31
969.09,-0.24
978.78,-0.17
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.24
1039.00,0.33
1049.39,0.42
1059.88,0.51
1070.48,0.61
1081.19,0.71
1092.00,0.81
1102.92,0.91
1113.95,1.02
1125.09,1.12
1136.34,1.23
1147.70,1.34
1159.18,1.45
1170.77,1.56
1182.48,1.68
1194.30,1.80
1206.25,1.92
1218.31,2.03
1230.49,2.15
1242.80,2.27
1255.22,2.39
1267.78,2.50
1280.45,2.61
1293.26,2.71
1306.19,2.81
1319.25,2.91
1332.45,3.00
1345.77,3.08
1359.23,3.16
1372.82,3.24
1386.55,3.33
1400.41,3.42
1414.42,3.51
1428.56,3.60
1442.85,3.70
1457.28,3.80
1471.85,3.91
1486.57,4.01
1501.43,4.13
1516.45,4.25
1531.61,4.36
1546.93,4.47
1562.40,4.58
1578.02,4.69
1593.80,4.81
1609.74,4.93
1625.84,5.06
1642.10,5.19
1658.52,5.33
1675.10,5.47
1691.85,5.61
1708.77,5.76
1725.86,5.90
1743.12,6.04
1760.55,6.18
1778.15,6.33
1795.94,6.47
1813.90,6.62
1832.03,6.77
1850.36,6.92
1868.86,7.07
1887.55,7.21
1906.42,7.36
1925.49,7.51
1944.74,7.65
1964.19,7.78
1983.83,7.89
2003.67,7.99
2023.71,8.06
2043.94,8.14
2064.38,8.23
2085.03,8.34
2105.88,8.46
2126.94,8.59
2148.20,8.71
2169.69,8.84
2191.38,8.96
2213.30,9.07
2235.43,9.17
2257.78,9.26
2280.36,9.33
2303.17,9.40
2326.20,9.46
2349.46,9.52
2372.95,9.57
2396.68,9.60
2420.65,9.60
2444.86,9.59
2469.31,9.56
2494.00,9.52
2518.94,9.48
2544.13,9.43
2569.57,9.36
2595.27,9.27
2621.22,9.16
2647.43,9.01
2673.90,8.79
2700.64,8.58
2727.65,8.41
2754.93,8.30
2782.48,8.26
2810.30,8.22
2838.40,8.19
2866.79,8.15
2895.46,8.10
2924.41,8.06
2953.65,8.02
2983.19,7.98
3013.02,7.95
3043.15,7.93
3073.58,7.94
3104.32,7.97
3135.36,7.97
3166.72,7.94
3198.38,7.89
3230.37,7.79
3262.67,7.70
3295.30,7.62
3328.25,7.59
3361.53,7.59
3395.15,7.62
3429.10,7.69
3463.39,7.77
3498.03,7.84
3533.01,7.87
3568.34,7.86
3604.02,7.82
3640.06,7.79
3676.46,7.79
3713.22,7.80
3750.36,7.83
3787.86,7.87
3825.74,7.91
3864.00,7.98
3902.64,8.04
3941.66,8.11
3981.08,8.19
4020.89,8.27
4061.10,8.36
4101.71,8.47
4142.73,8.58
4184.15,8.71
4226.00,8.84
4268.26,8.99
4310.94,9.17
4354.05,9.39
4397.59,9.60
4441.56,9.81
4485.98,9.98
4530.84,10.12
4576.15,10.24
4621.91,10.35
4668.13,10.46
4714.81,10.57
4761.96,10.68
4809.58,10.79
4857.67,10.87
4906.25,10.94
4955.31,10.99
5004.87,11.01
5054.91,10.98
5105.46,10.91
5156.52,10.79
5208.08,10.62
5260.16,10.41
5312.77,10.17
5365.89,9.91
5419.55,9.61
5473.75,9.28
5528.49,8.90
5583.77,8.51
5639.61,8.14
5696.00,7.78
5752.96,7.43
5810.49,7.07
5868.60,6.68
5927.28,6.28
5986.56,5.88
6046.42,5.49
6106.89,5.17
6167.96,4.95
6229.64,4.84
6291.93,4.76
6354.85,4.61
6418.40,4.42
6482.58,4.13
6547.41,3.96
6612.88,3.86
6679.01,3.86
6745.80,3.90
6813.26,3.95
6881.39,4.02
6950.21,4.15
7019.71,4.33
7089.91,4.58
7160.81,4.91
7232.41,5.27
7304.74,5.64
7377.79,6.04
7451.56,6.48
7526.08,6.96
7601.34,7.47
7677.35,7.95
7754.13,8.41
7831.67,8.75
7909.98,9.01
7989.08,9.15
8068.98,9.09
8149.67,8.96
8231.16,8.73
8313.47,8.51
8396.61,8.29
8480.57,8.11
8565.38,7.98
8651.03,7.87
8737.54,7.80
8824.92,7.78
8913.17,7.80
9002.30,7.84
9092.32,7.91
9183.25,7.96
9275.08,7.99
9367.83,7.96
9461.51,7.75
9556.12,7.43
9651.68,7.02
9748.20,6.54
9845.68,5.92
9944.14,5.23
10043.58,4.49
10144.02,3.76
10245.46,3.07
10347.91,2.43
10451.39,1.83
10555.91,1.25
10661.46,0.70
10768.08,0.16
10875.76,-0.33
10984.52,-0.75
11094.36,-1.12
11205.31,-1.39
11317.36,-1.58
11430.53,-1.76
11544.84,-1.87
11660.29,-1.91
11776.89,-1.91
11894.66,-1.83
12013.60,-1.74
12133.74,-1.61
12255.08,-1.44
12377.63,-1.24
12501.41,-1.03
12626.42,-0.79
12752.68,-0.55
12880.21,-0.31
13009.01,-0.07
13139.10,0.17
13270.49,0.40
13403.20,0.67
13537.23,0.97
13672.60,1.30
13809.33,1.69
13947.42,2.22
14086.90,2.80
14227.77,3.41
14370.04,3.97
14513.74,4.45
14658.88,4.47
14805.47,4.30
14953.52,3.80
15103.06,3.22
15254.09,2.62
15406.63,2.18
15560.70,1.86
15716.30,1.72
15873.47,1.79
16032.20,1.98
16192.52,2.42
16354.45,3.08
16517.99,3.91
16683.17,5.03
16850.01,6.14
17018.51,7.15
17188.69,7.40
17360.58,6.96
17534.18,6.03
17709.53,4.71
17886.62,3.17
18065.49,1.43
18246.14,-0.54
18428.60,-2.80
18612.89,-5.11
18799.02,-7.46
18987.01,-9.81
19176.88,-12.48
19368.65,-15.58
19562.33,-19.26
19757.96,-23.63
19955.54,-28.00
